"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 07:44:33 IST 2022","Fri Oct 21 07:44:33 IST 2022","412","","Home Page Validations","","","","Verify whether application is launched or not",""
"passed","Fri Oct 21 07:44:47 IST 2022","Fri Oct 21 07:44:47 IST 2022","341","","Test Automation Practice Validation - TestCase1","","","","Enter Password",""
"passed","Fri Oct 21 07:45:02 IST 2022","Fri Oct 21 07:45:02 IST 2022","352","","Test Automation Practice Validation  - TestCase2","","","","Enter Address",""
"passed","Fri Oct 21 07:45:12 IST 2022","Fri Oct 21 07:45:13 IST 2022","348","","Test Automation Practice Validation - TestCase3","","","","Enter UserName",""
"passed","Fri Oct 21 07:45:12 IST 2022","Fri Oct 21 07:45:12 IST 2022","96","","Test Automation Practice Validation - TestCase3","","","","Verify whether application is launched or not",""
"passed","Fri Oct 21 07:45:10 IST 2022","Fri Oct 21 07:45:12 IST 2022","1733","","Test Automation Practice Validation - TestCase3","","","","Launch URL",""
"passed","Fri Oct 21 07:44:33 IST 2022","Fri Oct 21 07:44:33 IST 2022","123","","Home Page Validations","","","","Validate Selenium Webdriver Text",""
"passed","Fri Oct 21 07:45:00 IST 2022","Fri Oct 21 07:45:00 IST 2022","103","","Test Automation Practice Validation  - TestCase2","","","","Validate Automation Practice Header",""
"passed","Fri Oct 21 07:44:45 IST 2022","Fri Oct 21 07:44:46 IST 2022","95","","Test Automation Practice Validation - TestCase1","","","","Validate Automation Practice Header",""
"passed","Fri Oct 21 07:44:43 IST 2022","Fri Oct 21 07:44:45 IST 2022","1635","","Test Automation Practice Validation - TestCase1","","","","Launch URL",""
"passed","Fri Oct 21 07:44:46 IST 2022","Fri Oct 21 07:44:47 IST 2022","552","","Test Automation Practice Validation - TestCase1","","","","Enter Email Address",""
"passed","Fri Oct 21 07:44:48 IST 2022","Fri Oct 21 07:44:48 IST 2022","117","","Test Automation Practice Validation - TestCase1","","","","Click on the Submit Button",""
"passed","Fri Oct 21 07:45:02 IST 2022","Fri Oct 21 07:45:03 IST 2022","123","","Test Automation Practice Validation  - TestCase2","","","","Click on the Submit Button",""
"passed","Fri Oct 21 07:45:02 IST 2022","Fri Oct 21 07:45:02 IST 2022","343","","Test Automation Practice Validation  - TestCase2","","","","Enter Password",""
"passed","Fri Oct 21 07:45:01 IST 2022","Fri Oct 21 07:45:01 IST 2022","459","","Test Automation Practice Validation  - TestCase2","","","","Enter Mobile Number",""
"passed","Fri Oct 21 07:45:13 IST 2022","Fri Oct 21 07:45:13 IST 2022","364","","Test Automation Practice Validation - TestCase3","","","","Enter Mobile Number",""
"passed","Fri Oct 21 07:45:12 IST 2022","Fri Oct 21 07:45:12 IST 2022","74","","Test Automation Practice Validation - TestCase3","","","","Validate Automation Practice Header",""
"passed","Fri Oct 21 07:45:13 IST 2022","Fri Oct 21 07:45:14 IST 2022","522","","Test Automation Practice Validation - TestCase3","","","","Enter Email Address",""
"passed","Fri Oct 21 07:45:01 IST 2022","Fri Oct 21 07:45:02 IST 2022","503","","Test Automation Practice Validation  - TestCase2","","","","Enter Email Address",""
"passed","Fri Oct 21 07:45:00 IST 2022","Fri Oct 21 07:45:01 IST 2022","566","","Test Automation Practice Validation  - TestCase2","","","","Enter UserName",""
"passed","Fri Oct 21 07:44:55 IST 2022","Fri Oct 21 07:44:59 IST 2022","4315","","Test Automation Practice Validation  - TestCase2","","","","Launch URL",""
"passed","Fri Oct 21 07:44:33 IST 2022","Fri Oct 21 07:44:34 IST 2022","653","","Home Page Validations","","","","Click on Read More button",""
"passed","Fri Oct 21 07:44:46 IST 2022","Fri Oct 21 07:44:46 IST 2022","401","","Test Automation Practice Validation - TestCase1","","","","Enter Mobile Number",""
"passed","Fri Oct 21 07:45:14 IST 2022","Fri Oct 21 07:45:14 IST 2022","123","","Test Automation Practice Validation - TestCase3","","","","Click on the Submit Button",""
"passed","Fri Oct 21 07:44:46 IST 2022","Fri Oct 21 07:44:46 IST 2022","327","","Test Automation Practice Validation - TestCase1","","","","Enter UserName",""
"passed","Fri Oct 21 07:44:29 IST 2022","Fri Oct 21 07:44:33 IST 2022","3488","","Home Page Validations","","","","Launch Application URL",""
"passed","Fri Oct 21 07:44:47 IST 2022","Fri Oct 21 07:44:48 IST 2022","321","","Test Automation Practice Validation - TestCase1","","","","Enter Address",""
"passed","Fri Oct 21 07:45:14 IST 2022","Fri Oct 21 07:45:14 IST 2022","281","","Test Automation Practice Validation - TestCase3","","","","Enter Address",""
"passed","Fri Oct 21 07:45:00 IST 2022","Fri Oct 21 07:45:00 IST 2022","504","","Test Automation Practice Validation  - TestCase2","","","","Click on Test Automation Practice Nav link",""
"passed","Fri Oct 21 07:44:45 IST 2022","Fri Oct 21 07:44:45 IST 2022","87","","Test Automation Practice Validation - TestCase1","","","","Verify whether application is launched or not",""
"passed","Fri Oct 21 07:45:12 IST 2022","Fri Oct 21 07:45:12 IST 2022","465","","Test Automation Practice Validation - TestCase3","","","","Click on Test Automation Practice Nav link",""
"passed","Fri Oct 21 07:44:45 IST 2022","Fri Oct 21 07:44:45 IST 2022","454","","Test Automation Practice Validation - TestCase1","","","","Click on Test Automation Practice Nav link",""
"passed","Fri Oct 21 07:44:59 IST 2022","Fri Oct 21 07:45:00 IST 2022","122","","Test Automation Practice Validation  - TestCase2","","","","Verify whether application is launched or not",""
"passed","Fri Oct 21 07:45:14 IST 2022","Fri Oct 21 07:45:14 IST 2022","322","","Test Automation Practice Validation - TestCase3","","","","Enter Password",""
